Sentence_ID;Words;Labels;Tags
1;As;O;0
1;the;O;0
1;chief;O;0
1;financial;O;0
1;strategist;O;0
1;at;O;0
1;this;O;0
1;firm;O;0
1;,;O;0
1;I;O;0
1;am;O;0
1;responsible;O;0
1;for;O;0
1;developing;O;0
1;and;O;0
1;implementing;O;0
1;financial;O;0
1;plans;O;0
1;for;O;0
1;the;O;0
1;company;O;0
2;You;O;0
2;can;O;0
2;reach;O;0
2;me;O;0
2;at;O;0
2;my;O;0
2;email;O;0
2;,;O;0
2;johnd@outlook.com;B-PERSON;1
2;,;L-PERSON;3
2;or;O;0
2;by;O;0
2;phone;O;0
2;at;O;0
2;999;B-SSN_NUMBER;5
2;-;I-SSN_NUMBER;6
2;999;I-SSN_NUMBER;6
2;-;I-SSN_NUMBER;6
2;9999;L-SSN_NUMBER;7
2;.;O;0
3;My;B-PERSON;1
3;name;L-PERSON;3
3;is;O;0
3;Robert;B-PERSON;1
3;Smith;L-PERSON;3
3;and;O;0
3;I;O;0
3;am;O;0
3;the;O;0
3;Manager;U-PERSON;4
3;of;O;0
3;Internal;B-BIRTH_DATE;9
3;Audit;I-BIRTH_DATE;10
3;at;I-BIRTH_DATE;10
3;GHI;L-BIRTH_DATE;11
3;Enterprises;U-PERSON;4
3;.;O;0
3;I;O;0
3;am;O;0
3;45;O;0
3;years;O;0
3;old;O;0
3;and;O;0
3;my;O;0
3;birthdate;O;0
3;is;O;0
3;August;B-BIRTH_DATE;9
3;17;I-BIRTH_DATE;10
3;,;I-BIRTH_DATE;10
3;1978;L-BIRTH_DATE;11
3;.;B-PERSON;1
3;My;L-PERSON;3
3;email;O;0
3;is;O;0
3;audit@ghi.com;U-EMAIL;16
3;and;O;0
3;my;O;0
3;phone;O;0
3;number;O;0
3;is;O;0
3;345;B-SSN_NUMBER;5
3;-;I-SSN_NUMBER;6
3;678;I-SSN_NUMBER;6
3;-;I-SSN_NUMBER;6
3;909;L-SSN_NUMBER;7
4;Jason;U-PERSON;4
4;is;O;0
4;a;O;0
4;businessman;O;0
4;,;O;0
4;who;O;0
4;owns;O;0
4;a;O;0
4;successful;O;0
4;chain;O;0
4;of;O;0
4;restaurants;O;0
5;My;B-PERSON;1
5;name;L-PERSON;3
5;is;O;0
5;Robert;B-PERSON;1
5;Johnson;L-PERSON;3
5;and;O;0
5;I;O;0
5;am;O;0
5;the;O;0
5;Manager;U-PERSON;4
5;of;O;0
5;Internal;B-BIRTH_DATE;9
5;Audit;I-BIRTH_DATE;10
5;at;I-BIRTH_DATE;10
5;GHI;L-BIRTH_DATE;11
5;Enterprises;U-PERSON;4
5;.;O;0
5;I;O;0
5;am;O;0
5;35;O;0
5;years;O;0
5;old;O;0
5;and;O;0
5;my;O;0
5;birthdate;O;0
5;is;O;0
5;April;B-BIRTH_DATE;9
5;30;I-BIRTH_DATE;10
5;,;I-BIRTH_DATE;10
5;1988;L-BIRTH_DATE;11
5;.;O;0
5;My;U-PERSON;4
5;email;O;0
5;is;O;0
5;audit@ghi.com;U-EMAIL;16
5;and;O;0
5;my;O;0
5;phone;O;0
5;number;O;0
5;is;O;0
5;567;B-SSN_NUMBER;5
5;-;I-SSN_NUMBER;6
5;890;I-SSN_NUMBER;6
5;-;I-SSN_NUMBER;6
5;1234;L-SSN_NUMBER;7
6;My;B-PERSON;1
6;name;L-PERSON;3
6;is;O;0
6;David;B-BIRTH_DATE;9
6;Johnson;I-BIRTH_DATE;10
6;and;I-BIRTH_DATE;10
6;I;I-BIRTH_DATE;10
6;am;I-BIRTH_DATE;10
6;the;I-BIRTH_DATE;10
6;Compliance;I-BIRTH_DATE;10
6;Coordinator;I-BIRTH_DATE;10
6;at;I-BIRTH_DATE;10
6;UVW;I-BIRTH_DATE;10
6;Ventures;I-BIRTH_DATE;10
6;.;I-BIRTH_DATE;10
6;I;I-BIRTH_DATE;10
6;am;I-BIRTH_DATE;10
6;50;I-BIRTH_DATE;10
6;years;I-BIRTH_DATE;10
6;old;I-BIRTH_DATE;10
6;and;I-BIRTH_DATE;10
6;my;I-BIRTH_DATE;10
6;birthdate;I-BIRTH_DATE;10
6;is;I-BIRTH_DATE;10
6;April;I-BIRTH_DATE;10
6;30;I-BIRTH_DATE;10
6;,;I-BIRTH_DATE;10
6;1973;L-BIRTH_DATE;11
6;.;B-PERSON;1
6;My;L-PERSON;3
6;email;O;0
6;is;O;0
6;coordinator@uvw.com;U-EMAIL;16
6;and;O;0
6;my;O;0
6;phone;O;0
6;number;O;0
6;is;O;0
6;901;B-SSN_NUMBER;5
6;-;I-SSN_NUMBER;6
6;234;I-SSN_NUMBER;6
6;-;I-SSN_NUMBER;6
6;5678;L-SSN_NUMBER;7
7;I;O;0
7;am;O;0
7;the;O;0
7;head;O;0
7;teacher;O;0
7;at;O;0
7;this;O;0
7;school;O;0
7;,;O;0
7;and;O;0
7;it;O;0
7;is;O;0
7;my;O;0
7;honor;O;0
7;to;O;0
7;guide;O;0
7;and;O;0
7;educate;O;0
7;our;O;0
7;students;O;0
8;I;O;0
8;am;O;0
8;the;O;0
8;financial;O;0
8;specialist;O;0
8;at;O;0
8;this;O;0
8;company;O;0
8;,;O;0
8;and;O;0
8;it;O;0
8;is;O;0
8;my;O;0
8;job;O;0
8;to;O;0
8;provide;O;0
8;expert;O;0
8;knowledge;O;0
8;and;O;0
8;advice;O;0
8;on;O;0
8;financial;O;0
8;matters;O;0
9;I;O;0
9;am;O;0
9;Emily;B-PERSON;1
9;Johnson;L-PERSON;3
9;and;O;0
9;I;O;0
9;am;O;0
9;the;O;0
9;Chief;B-PERSON;1
9;Governance;L-PERSON;3
9;Officer;U-PERSON;4
9;at;O;0
9;WXY;O;0
9;Corporation;O;0
9;.;O;0
9;I;O;0
9;am;O;0
9;35;O;0
9;years;O;0
9;old;O;0
9;and;O;0
9;my;O;0
9;birthdate;O;0
9;is;O;0
9;September;B-BIRTH_DATE;9
9;26;I-BIRTH_DATE;10
9;,;I-BIRTH_DATE;10
9;1988;L-BIRTH_DATE;11
9;.;O;0
9;My;U-PERSON;4
9;email;O;0
9;is;O;0
9;cgo@wxy.com;U-EMAIL;16
9;and;O;0
9;my;O;0
9;phone;O;0
9;number;O;0
9;is;O;0
9;12;B-SSN_NUMBER;5
9;-;I-SSN_NUMBER;6
9;345;I-SSN_NUMBER;6
9;-;I-SSN_NUMBER;6
9;6789;L-SSN_NUMBER;7
10;Mike;B-BIRTH_DATE;9
10;,;I-BIRTH_DATE;10
10;my;I-BIRTH_DATE;10
10;email;I-BIRTH_DATE;10
10;is;I-BIRTH_DATE;10
10;mikebrown@yahoo.com;I-BIRTH_DATE;10
10;,;I-BIRTH_DATE;10
10;so;I-BIRTH_DATE;10
10;please;I-BIRTH_DATE;10
10;add;I-BIRTH_DATE;10
10;me;I-BIRTH_DATE;10
10;to;I-BIRTH_DATE;10
10;the;I-BIRTH_DATE;10
10;distribution;I-BIRTH_DATE;10
10;list;I-BIRTH_DATE;10
10;for;I-BIRTH_DATE;10
10;the;I-BIRTH_DATE;10
10;weekly;I-BIRTH_DATE;10
10;meeting;I-BIRTH_DATE;10
10;agendas;L-BIRTH_DATE;11
11;The;U-PERSON;4
11;date;O;0
11;of;O;0
11;birth;O;0
11;listed;O;0
11;in;O;0
11;the;O;0
11;records;O;0
11;is;O;0
11;31.08.1989 00:00;U-EMAIL;16
12;Samantha;B-PERSON;1
12;,;L-PERSON;3
12;my;O;0
12;phone;O;0
12;number;O;0
12;is;O;0
12;(;O;0
12;123;O;0
12;);B-SSN_NUMBER;5
12;456;I-SSN_NUMBER;6
12;-;I-SSN_NUMBER;6
12;7890;L-SSN_NUMBER;7
12;,;O;0
12;so;O;0
12;please;O;0
12;add;O;0
12;me;O;0
12;to;O;0
12;the;O;0
12;group;O;0
12;chat;O;0
12;for;O;0
12;updates;O;0
12;on;O;0
12;the;O;0
12;project;O;0
13;Steven;B-PERSON;1
13;,;L-PERSON;3
13;my;O;0
13;phone;O;0
13;number;O;0
13;is;O;0
13;(;O;0
13;111;O;0
13;);B-SSN_NUMBER;5
13;111;I-SSN_NUMBER;6
13;-;I-SSN_NUMBER;6
13;1111;L-SSN_NUMBER;7
13;,;O;0
13;so;O;0
13;please;O;0
13;give;O;0
13;me;O;0
13;a;O;0
13;call;O;0
13;if;O;0
13;you;O;0
13;have;O;0
13;any;O;0
13;questions;O;0
14;Ms.;O;0
14;Lauren;B-PERSON;1
14;,;L-PERSON;3
14;a;O;0
14;thirty;O;0
14;year;O;0
14;old;O;0
14;marketing;O;0
14;manager;O;0
14;,;O;0
14;is;O;0
14;passionate;O;0
14;about;O;0
14;event;O;0
14;planning;O;0
14;and;O;0
14;creating;O;0
14;memorable;O;0
14;experiences;O;0
15;Sarah;B-PERSON;1
15;,;L-PERSON;3
15;I;O;0
15;gave;O;0
15;you;O;0
15;my;O;0
15;business;O;0
15;card;O;0
15;with;O;0
15;my;O;0
15;phone;O;0
15;number;O;0
15;,;O;0
15;(;O;0
15;12;O;0
15;);B-SSN_NUMBER;5
15;345;I-SSN_NUMBER;6
15;-;I-SSN_NUMBER;6
15;6789;L-SSN_NUMBER;7
15;,;O;0
15;so;O;0
15;please;O;0
15;don;O;0
15;;O;0
15;t;O;0
15;hesitate;O;0
15;to;O;0
15;call;O;0
15;me;O;0
15;with;O;0
15;any;O;0
15;questions;O;0
15;or;O;0
15;concerns;O;0
16;The;U-PERSON;4
16;department;O;0
16;;O;0
16;s;O;0
16;email;O;0
16;is;O;0
16;department@company.com;U-EMAIL;16
16;and;U-PERSON;4
16;the;O;0
16;phone;O;0
16;number;O;0
16;is;O;0
16;999;B-SSN_NUMBER;5
16;-;I-SSN_NUMBER;6
16;999;I-SSN_NUMBER;6
16;-;I-SSN_NUMBER;6
16;9999;L-SSN_NUMBER;7
16;.;O;0
17;Eric;U-PERSON;4
17;is;O;0
17;a;O;0
17;man;O;0
17;,;O;0
17;who;O;0
17;works;O;0
17;as;O;0
17;a;O;0
17;software;O;0
17;engineer;O;0
17;at;O;0
17;a;O;0
17;tech;O;0
17;company;O;0
18;According;B-PERSON;1
18;to;L-PERSON;3
18;the;O;0
18;date;O;0
18;of;O;0
18;birth;O;0
18;on;O;0
18;the;B-BIRTH_DATE;9
18;driver;I-BIRTH_DATE;10
18;s;I-BIRTH_DATE;10
18;license;I-BIRTH_DATE;10
18;,;I-BIRTH_DATE;10
18;the;L-BIRTH_DATE;11
18;person;O;0
18;was;O;0
18;born;O;0
18;on;O;0
18;March;B-BIRTH_DATE;9
18;3;I-BIRTH_DATE;10
18;rd;I-BIRTH_DATE;10
18;,;I-BIRTH_DATE;10
18;1982;L-BIRTH_DATE;11
19;Rob;B-BIRTH_DATE;9
19;,;I-BIRTH_DATE;10
19;my;I-BIRTH_DATE;10
19;work;I-BIRTH_DATE;10
19;email;I-BIRTH_DATE;10
19;is;I-BIRTH_DATE;10
19;robertsmith@company.com;I-BIRTH_DATE;10
19;,;I-BIRTH_DATE;10
19;but;I-BIRTH_DATE;10
19;you;I-BIRTH_DATE;10
19;can;I-BIRTH_DATE;10
19;also;I-BIRTH_DATE;10
19;reach;I-BIRTH_DATE;10
19;me;I-BIRTH_DATE;10
19;at;I-BIRTH_DATE;10
19;my;I-BIRTH_DATE;10
19;personal;I-BIRTH_DATE;10
19;email;I-BIRTH_DATE;10
19;,;I-BIRTH_DATE;10
19;robertsmith@gmail.com;L-BIRTH_DATE;11
19;,;O;0
19;if;O;0
19;you;O;0
19;need;O;0
19;to;O;0
19;contact;O;0
19;me;O;0
19;after;O;0
19;hours;O;0
20;As;O;0
20;the;O;0
20;lead;O;0
20;accountant;O;0
20;at;O;0
20;this;O;0
20;firm;O;0
20;,;O;0
20;I;O;0
20;am;O;0
20;responsible;O;0
20;for;O;0
20;managing;O;0
20;our;O;0
20;financial;O;0
20;records;O;0
20;and;O;0
20;providing;O;0
20;financial;O;0
20;guidance;O;0
20;to;O;0
20;our;O;0
20;clients;O;0
21;I;O;0
21;am;O;0
21;Jessica;B-PERSON;1
21;Smith;L-PERSON;3
21;and;O;0
21;I;O;0
21;am;O;0
21;the;O;0
21;Risk;B-PERSON;1
21;Analyst;L-PERSON;3
21;at;O;0
21;QRST;O;0
21;Associates;O;0
21;.;O;0
21;I;O;0
21;am;O;0
21;50;O;0
21;years;O;0
21;old;O;0
21;and;O;0
21;my;O;0
21;birthdate;O;0
21;is;O;0
21;July;B-BIRTH_DATE;9
21;7;I-BIRTH_DATE;10
21;,;I-BIRTH_DATE;10
21;1973;L-BIRTH_DATE;11
21;.;B-PERSON;1
21;My;L-PERSON;3
21;email;O;0
21;is;O;0
21;analyst@qrst.com;U-EMAIL;16
21;and;U-PERSON;4
21;my;O;0
21;phone;O;0
21;number;O;0
21;is;O;0
21;456;B-SSN_NUMBER;5
21;-;I-SSN_NUMBER;6
21;789;I-SSN_NUMBER;6
21;-;I-SSN_NUMBER;6
21;123;L-SSN_NUMBER;7
22;Amy;O;0
22;,;O;0
22;my;O;0
22;personal;O;0
22;email;O;0
22;is;O;0
22;amymiller@hotmail.com;U-EMAIL;16
22;,;O;0
22;so;O;0
22;please;O;0
22;use;O;0
22;that;O;0
22;one;O;0
22;for;O;0
22;any;O;0
22;personal;O;0
22;matters;O;0
23;Lauren;B-PERSON;1
23;,;L-PERSON;3
23;my;O;0
23;work;O;0
23;email;O;0
23;is;O;0
23;laurenmoore@company.com;U-EMAIL;16
23;,;O;0
23;but;O;0
23;you;O;0
23;can;O;0
23;also;O;0
23;reach;O;0
23;me;O;0
23;at;O;0
23;my;O;0
23;personal;O;0
23;email;O;0
23;,;O;0
23;laurenmoore@gmail.com;B-PERSON;1
23;,;L-PERSON;3
23;for;O;0
23;any;O;0
23;urgent;O;0
23;matters;O;0
24;Steven;B-PERSON;1
24;,;L-PERSON;3
24;my;O;0
24;phone;O;0
24;number;O;0
24;is;O;0
24;(;O;0
24;234;O;0
24;);B-SSN_NUMBER;5
24;567;I-SSN_NUMBER;6
24;-;I-SSN_NUMBER;6
24;8901;L-SSN_NUMBER;7
24;,;O;0
24;so;O;0
24;please;O;0
24;send;O;0
24;an;O;0
24;update;O;0
25;David;B-PERSON;1
25;,;L-PERSON;3
25;I;O;0
25;just;O;0
25;sent;O;0
25;you;O;0
25;an;O;0
25;email;O;0
25;at;O;0
25;davidjohnson@aol.com;O;0
25;with;O;0
25;the;O;0
25;login;O;0
25;information;O;0
25;for;O;0
25;the;O;0
25;new;O;0
25;system;O;0
25;,;O;0
25;can;O;0
25;you;O;0
25;please;O;0
25;check;O;0
25;and;O;0
25;confirm;O;0
25;receipt;O;0
25;?;O;0
26;Kate;O;0
26;,;O;0
26;I;O;0
26;;O;0
26;m;O;0
26;not;O;0
26;sure;O;0
26;which;O;0
26;email;O;0
26;you;O;0
26;used;O;0
26;to;O;0
26;send;O;0
26;the;O;0
26;proposal;O;0
26;,;O;0
26;was;O;0
26;it;O;0
26;katedavis@gmail.com;U-EMAIL;16
26;or;O;0
26;katedavis@outlook.com;U-EMAIL;16
26;?;U-PERSON;4
27;The;U-PERSON;4
27;date;O;0
27;of;O;0
27;birth;O;0
27;recorded;O;0
27;in;O;0
27;the;O;0
27;system;O;0
27;is;O;0
27;31.08.1989 00:00;U-EMAIL;16
28;I;O;0
28;am;O;0
28;the;O;0
28;financial;O;0
28;advisor;O;0
28;at;O;0
28;this;O;0
28;firm;O;0
28;,;O;0
28;and;O;0
28;it;O;0
28;is;O;0
28;my;O;0
28;role;O;0
28;to;O;0
28;provide;O;0
28;personalized;O;0
28;financial;O;0
28;guidance;O;0
28;to;O;0
28;clients;O;0
29;The;U-PERSON;4
29;company;O;0
29;s;O;0
29;email;O;0
29;address;O;0
29;is;O;0
29;info@company.net;O;0
29;and;O;0
29;the;O;0
29;phone;O;0
29;number;O;0
29;is;O;0
29;222;B-SSN_NUMBER;5
29;-;I-SSN_NUMBER;6
29;222;I-SSN_NUMBER;6
29;-;I-SSN_NUMBER;6
29;2222;L-SSN_NUMBER;7
29;.;O;0
30;Elizabeth;U-PERSON;4
30;,;O;0
30;my;O;0
30;phone;O;0
30;number;O;0
30;is;O;0
30;(;O;0
30;678;O;0
30;);B-SSN_NUMBER;5
30;901;I-SSN_NUMBER;6
30;-;I-SSN_NUMBER;6
30;2345;L-SSN_NUMBER;7
30;,;O;0
30;so;O;0
30;please;O;0
30;give;O;0
30;me;O;0
30;a;O;0
30;call;O;0
30;if;O;0
30;you;O;0
30;have;O;0
30;any;O;0
30;questions;O;0
31;Sarah;U-PERSON;4
31;is;O;0
31;a;O;0
31;woman;O;0
31;,;O;0
31;who;O;0
31;is;O;0
31;an;O;0
31;experienced;O;0
31;interior;O;0
31;designer;O;0
31;and;O;0
31;owns;O;0
31;her;O;0
31;own;O;0
31;business;O;0
32;My;B-PERSON;1
32;name;L-PERSON;3
32;is;O;0
32;William;B-PERSON;1
32;Lee;L-PERSON;3
32;and;O;0
32;I;O;0
32;am;O;0
32;the;O;0
32;Risk;B-BIRTH_DATE;9
32;Manager;I-BIRTH_DATE;10
32;at;I-BIRTH_DATE;10
32;ABC;I-BIRTH_DATE;10
32;Company;I-BIRTH_DATE;10
32;.;I-BIRTH_DATE;10
32;I;I-BIRTH_DATE;10
32;am;I-BIRTH_DATE;10
32;30;I-BIRTH_DATE;10
32;years;I-BIRTH_DATE;10
32;old;I-BIRTH_DATE;10
32;and;I-BIRTH_DATE;10
32;my;I-BIRTH_DATE;10
32;birthdate;I-BIRTH_DATE;10
32;is;I-BIRTH_DATE;10
32;June;I-BIRTH_DATE;10
32;22;I-BIRTH_DATE;10
32;,;I-BIRTH_DATE;10
32;1993;L-BIRTH_DATE;11
32;.;B-PERSON;1
